"","Tray","Sample","ID","Dye","Vol_ml","well","1","2","3","n","meanOD","m","b","r","Tray","Protein","well","Protein_b","rsq_b","Protein_mgml"
"F117",4,9,"s4a_card_1","OLD_660",5,"4.9",0.1347,0.1319,0.2424,9,0.169666666666667,0.0221,0.063,0.953,"4",4.82654600301659,"4.9",4.45957446808511,0.969,4.64306023555085
"G117",4,10,"s1_prus_3","OLD_660",5,"4.10",0.1279,0.1164,0.1408,10,0.128366666666667,0.0221,0.063,0.953,"4",2.95776772247361,"4.10",2.88936170212766,0.969,2.92356471230063
"H117",4,11,"s7_prus_1","OLD_660",5,"4.11",0.1255,0.1284,0.1288,11,0.127566666666667,0.0221,0.063,0.953,"4",2.92156862745098,"4.11",2.84113475177305,0.969,2.88135168961202
"F45",5,1,"s5_prus_4","OLD_660",5,"5.1",0.1606,0.1293,0.1245,1,0.138133333333333,0.0418,0.049,0.976,"5",2.13237639553429,"5.1",2.10606060606061,0.977,2.11921850079745
"G45",5,2,"s1_prus_1","OLD_660",5,"5.2",0.2078,0.1917,0.1979,2,0.199133333333333,0.0418,0.049,0.976,"5",3.59170653907496,"5.2",3.52954545454545,0.977,3.56062599681021
"H45",5,3,"s1_prus_2","OLD_660",5,"5.3",0.2172,0.2066,0.2169,3,0.213566666666667,0.0418,0.049,0.976,"5",3.93700159489633,"5.3",3.74318181818182,0.977,3.84009170653908
"A118",5,4,"s5_prus_3","OLD_660",5,"5.4",0.1463,0.1533,0.15,4,0.149866666666667,0.0418,0.049,0.976,"5",2.41307814992026,"5.4",2.35530303030303,0.977,2.38419059011164
"B118",5,5,"s3_prus_1","OLD_660",5,"5.5",0.1512,0.1487,0.1547,5,0.151533333333333,0.0418,0.049,0.976,"5",2.45295055821372,"5.5",2.37651515151515,0.977,2.41473285486443
"C118",5,6,"s4b_prus_1","OLD_660",5,"5.6",0.1701,0.1748,0.1708,6,0.1719,0.0418,0.049,0.976,"5",2.94019138755981,"5.6",2.86136363636364,0.977,2.90077751196172
"D118",5,7,"s3_prus_3","OLD_660",5,"5.7",0.2079,0.1746,0.1708,7,0.184433333333333,0.0418,0.049,0.976,"5",3.24003189792664,"5.7",3.15378787878788,0.977,3.19690988835726
"E118",5,8,"s4b_prus_4","OLD_660",5,"5.8",0.0984,0.1018,0.099,8,0.0997333333333333,0.0418,0.049,0.976,"5",1.21371610845295,"5.8",1.20227272727273,0.977,1.20799441786284
"F119",5,9,"s4a_pcyl_3","OLD_660",5,"5.9",0.1551,0.1694,0.1513,9,0.1586,0.0418,0.049,0.976,"5",2.62200956937799,"5.9",2.4780303030303,0.977,2.55001993620415
"G119",5,10,"s4a_pdam_4","OLD_660",5,"5.10",0.1318,0.1409,0.1377,10,0.1368,0.0418,0.049,0.976,"5",2.10047846889952,"5.10",2.07424242424242,0.977,2.08736044657097
"H119",5,11,"s4a_brug_3","OLD_660",5,"5.11",0.1028,0.0992,0.0975,11,0.0998333333333333,0.0418,0.049,0.976,"5",1.21610845295056,"5.11",1.16287878787879,0.977,1.18949362041467
"A218",5,12,"s4b_card_2","OLD_660",5,"5.12",0.0898,0.0882,0.0945,12,0.0908333333333333,0.0418,0.049,0.976,"5",1.00079744816587,"5.12",1.01287878787879,0.977,1.00683811802233
"B218",5,13,"s4a_anac_2","OLD_660",5,"5.13",0.0966,0.0935,0.0888,13,0.0929666666666667,0.0418,0.049,0.976,"5",1.0518341307815,"5.13",1.01666666666667,0.977,1.03425039872408
"C218",5,14,"s4a_card_2","OLD_660",5,"5.14",0.1519,0.1632,0.1672,14,0.160766666666667,0.0418,0.049,0.976,"5",2.67384370015949,"5.14",2.60984848484848,0.977,2.64184609250399
"D218",5,15,"s4a_pdam_2","OLD_660",5,"5.15",0.2188,0.2441,0.2028,15,0.2219,0.0418,0.049,0.976,"5",4.13636363636364,"5.15",4.00227272727273,0.977,4.06931818181818
"E218",5,16,"s4a_brug_1","OLD_660",5,"5.16",0.079,0.0783,0.1431,16,0.100133333333333,0.0418,0.049,0.976,"5",1.22328548644338,"5.16",1.21590909090909,0.977,1.21959728867624
"F218",5,17,"s3_stag_1","OLD_660",5,"5.17",0.1031,0.1096,0.1105,17,0.107733333333333,0.0418,0.049,0.976,"5",1.40510366826156,"5.17",1.37727272727273,0.977,1.39118819776715
"G218",5,18,"s2_hya_3","OLD_660",5,"5.18",0.2868,0.3514,0.4938,18,0.377333333333333,0.0418,0.049,0.976,"5",7.8548644338118,"5.18",9.19621212121212,0.977,8.52553827751196
"H218",5,19,"s2_stag_3","OLD_660",5,"5.19",0.1197,0.1326,0.2857,19,0.179333333333333,0.0418,0.049,0.976,"5",3.11802232854865,"5.19",3.21212121212121,0.977,3.16507177033493
"A318",5,20,"s2_prus_1","OLD_660",4,"5.20",0.2932,0.6266,0.4014,20,0.4404,0.0418,0.049,0.976,"5",9.36363636363637,"5.20",9.20530303030303,0.977,9.2844696969697
"B318",5,21,"s3_ten_4","OLD_660",5,"5.21",0.0817,0.0935,0.085,21,0.0867333333333333,0.0418,0.049,0.976,"5",0.902711323763955,"5.21",0.843181818181818,0.977,0.872946570972887
