Tray,ID,top,1_Glass,2_freeze_dried,3_furnace,Notes,Total Weight,Ash Weight,AFDW_5ml,Total AFDW
C2_double,s1_anac_2,c,13.41,13.519,13.497,,0.109,0.087,0.022,0.044
C2_double,s3_stag_2,c,13.36,13.498,13.471,,0.138,0.111,0.027,0.054
C2_double,s1_pcyl_3,d,13.316,13.434,13.406,,0.118,0.09,0.028,0.056
C2_double,s2_stag_3,c,13.341,13.441,13.419,,0.1,0.078,0.022,0.044
C2_double,s1_acrop_2,m,13.434,13.543,13.518,,0.109,0.084,0.025,0.05
C2_double,s1_lobo_1,d,13.354,13.495,13.456,,0.141,0.102,0.039,0.078
C2_double,s1_anac_1,c,13.285,13.353,13.338,,0.068,0.053,0.015,0.03
C2_double,s2_prus_3,m,13.271,13.444,13.407,,0.173,0.136,0.037,0.074
C2_double,s3_pdam_3,c,13.412,13.522,13.496,,0.11,0.084,0.026,0.052
C2_double,s1_brug_1,c,13.359,13.49,13.461,,0.131,0.102,0.029,0.058
C2_double,s1_poc_1,m,13.309,13.45,13.416,repeat,0.141,0.107,0.034,0.068
C2_double,s1_poc_2,m,13.303,13.414,13.389,repeat,0.111,0.086,0.025,0.05
C2_double,s1_brug_2,c,13.338,13.42,13.402,,0.082,0.064,0.018,0.036
C2_double,s3_pcyl_2,d,13.255,13.351,13.326,,0.096,0.071,0.025,0.05
