Date,Site.N,Site,Location,Bag,Genus,Species,Species_TB,Plot,Photo.1,Photo.2,Tag,ID,Dewer
13/02/2019,Site 5,Falcon Reef,Lagoon,24,Acropora,Acropora cf. subglabra,Acropora cf. subglabra,1,IMG_1840,IMG_1841,3,s5_card_3,no colour
13/02/2019,Site 5,Falcon Reef,Lagoon,7,Porites,Porites cf. cylindrica,Porites cf. cylindrica,1,IMG_1816,IMG_1817,1,s5_pcyl_1,no colour
13/02/2019,Site 5,Falcon Reef,Lagoon,8,Porites,Porites cf. cylindrica,Porites cf. cylindrica,1,IMG_1818,IMG_1819,3,s5_pcyl_3,no colour
13/02/2019,Site 5,Falcon Reef,Lagoon,10,Porites,Porites cf. cylindrica,Porites cf. cylindrica,1,IMG_1822,IMG_1823,4,s5_pcyl_4,no colour
13/02/2019,Site 5,Falcon Reef,Lagoon,6,Porites,Porites cf. cylindrica,Porites cf. cylindrica,1,IMG_1814,IMG_1815,5,s5_pcyl_5,no colour
13/02/2019,Site 5,Falcon Reef,Lagoon,15,Pocillopora,Pocillopora cf. damicornis,Pocillopora cf. damicornis,1,IMG_1832,IMG_1833,1,s5_pdam_1,no colour
13/02/2019,Site 5,Falcon Reef,Lagoon,14,Pocillopora,Pocillopora cf. damicornis,Pocillopora cf. damicornis,1,IMG_1830,IMG_1831,2,s5_pdam_2,no colour
13/02/2019,Site 5,Falcon Reef,Lagoon,22,Pocillopora,Pocillopora cf. damicornis,Pocillopora cf. damicornis,1,IMG_1836,IMG_1837,3,s5_pdam_3,no colour
13/02/2019,Site 5,Falcon Reef,Lagoon,21,Pocillopora,Pocillopora cf. damicornis,Pocillopora cf. damicornis,1,IMG_1834,IMG_1835,4,s5_pdam_4,no colour
13/02/2019,Site 5,Falcon Reef,Lagoon,2,Porites,Porites cf. rus,Porites cf. rus,1,IMG_1806,IMG_1807,1,s5_prus_1,no colour
13/02/2019,Site 5,Falcon Reef,Lagoon,3,Porites,Porites cf. rus,Porites cf. rus,1,IMG_1808,IMG_1809,3,s5_prus_3,no colour
13/02/2019,Site 5,Falcon Reef,Lagoon,1,Porites,Porites cf. rus,Porites cf. rus,1,IMG_1804,IMG_1805,4,s5_prus_4,no colour
13/02/2019,Site 5,Falcon Reef,Lagoon,13,Acropora,Acropora cf. muricata,Acropora cf. muricata,1,IMG_1828,IMG_1829,1,s5_stag_1,no colour
13/02/2019,Site 5,Falcon Reef,Lagoon,12,Acropora,Acropora cf. muricata,Acropora cf. muricata,1,IMG_1826,IMG_1827,2,s5_stag_2,no colour
13/02/2019,Site 5,Falcon Reef,Lagoon,11,Acropora,Acropora cf. muricata,Acropora cf. muricata,1,IMG_1824,IMG_1825,3,s5_stag_3,no colour
15/02/2019,Site 6,Eastern Barrier,Outer,NA,Acropora,Acropora cf. hyacinthus,Acropora cf. hyacinthus,1,IMG_1893,IMG_1894,1,s6_hya_1,red
15/02/2019,Site 6,Eastern Barrier,Outer,NA,Acropora,Acropora cf. hyacinthus,Acropora cf. hyacinthus,1,IMG_1895,IMG_1896,2,s6_hya_2,red
15/02/2019,Site 6,Eastern Barrier,Outer,NA,Acropora,Acropora cf. hyacinthus,Acropora cf. hyacinthus,1,IMG_1897,IMG_1898,3,s6_hya_3,red
15/02/2019,Site 6,Eastern Barrier,Outer,NA,Acropora,Acropora cf. hyacinthus,Acropora cf. hyacinthus,1,IMG_1899,IMG_1900,4,s6_hya_4,red
15/02/2019,Site 6,Eastern Barrier,Outer,NA,Acropora,Acropora cf. humilis,Acropora cf. humilis,2,IMG_1911,IMG_1912,1,s6_hum_1,red
15/02/2019,Site 6,Eastern Barrier,Outer,NA,Acropora,Acropora cf. humilis,Acropora cf. humilis,2,IMG_1913,IMG_1914,2,s6_hum_2,red
15/02/2019,Site 6,Eastern Barrier,Outer,NA,Pocillopora,Pocillopora cf. damicornis,Pocillopora cf. damicornis,2,IMG_1901,IMG_1902,1,s6_pdam_1,red
15/02/2019,Site 6,Eastern Barrier,Outer,NA,Pocillopora,Pocillopora cf. damicornis,Pocillopora cf. damicornis,2,IMG_1903,IMG_1904,2,s6_pdam_2,red
15/02/2019,Site 6,Eastern Barrier,Outer,NA,Goniastrea,Goniastrea spp.,Goniastrea cf. retiformis,2,IMG_1905,IMG_1906,3,s6_goni_3,red
15/02/2019,Site 6,Eastern Barrier,Outer,NA,Goniastrea,Goniastrea spp.,Goniastrea cf. retiformis,2,IMG_1907,IMG_1908,2,s6_goni_2,red
15/02/2019,Site 6,Eastern Barrier,Outer,NA,Goniastrea,Goniastrea spp.,Goniastrea cf. retiformis,2,IMG_1909,IMG_1910,1,s6_goni_1,red
18/02/2019,Site 7,Ulong Rock,Outer,NA,Porites,Porites cf. nigrescens,Porites cf. nigrescens,1,IMG_2120,IMG_2121,1,s7_pnig_1,no colour
18/02/2019,Site 7,Ulong Rock,Outer,NA,Pocillopora,Pocillopora cf. damicornis,Pocillopora cf. damicornis,1,IMG_2125,IMG_2126,1,s7_pdam_1,no colour
18/02/2019,Site 7,Ulong Rock,Outer,NA,Pocillopora,Pocillopora cf. verrucosa,Pocillopora cf. verrucosa,1,IMG_2127,IMG_2128,1,s7_pver_1,no colour
18/02/2019,Site 7,Ulong Rock,Outer,NA,Pocillopora,Pocillopora cf. verrucosa,Pocillopora cf. verrucosa,1,IMG_2129,IMG_2130,2,s7_pver_2,no colour
18/02/2019,Site 7,Ulong Rock,Outer,NA,Pocillopora,Pocillopora cf. damicornis,Pocillopora cf. damicornis,2,IMG_2131,IMG_2132,2,s7_pdam_2,no colour
18/02/2019,Site 7,Ulong Rock,Outer,NA,Stylophora,Stylophora cf. pistillata,Stylophora cf. pistillata,2,IMG_2133,IMG_2134,1,s7_styl_1,no colour
18/02/2019,Site 7,Ulong Rock,Outer,NA,Pocillopora,Pocillopora cf. damicornis,Pocillopora cf. damicornis,2,IMG_2135,IMG_2136,3,s7_pdam_3,no colour
18/02/2019,Site 7,Ulong Rock,Outer,NA,Porites,Porites cf. rus,Porites cf. rus,2,IMG_2137,IMG_2138,1,s7_prus_1,no colour
18/02/2019,Site 7,Ulong Rock,Outer,NA,Stylophora,Stylophora cf. pistillata,Stylophora cf. pistillata,1,IMG_2139,IMG_2140,2,s7_styl_2,no colour
18/02/2019,Site 7,Ulong Rock,Outer,NA,Porites,Porites cf. nigrescens,Porites cf. nigrescens,1,IMG_2152,IMG_2153,2,s7_pnig_2,no colour
18/02/2019,Site 7,Ulong Rock,Outer,NA,Porites,Porites cf. cylindrica,Porites cf. cylindrica,1,IMG_2154,IMG_2155,1,s7_pcyl_1,no colour
19/02/2019,Site 1,Nikko Bay,Inner,36,Pocillopora,Pocillopora cf. damicornis,Pocillopora cf. damicornis,1,IMG_2181,IMG_2182,NA,s1b_pdam_1,red
19/02/2019,Site 1,Nikko Bay,Inner,36,Isopora,Isopora cf. brueggemanni,Isopora cf. brueggemanni,1,IMG_2183,IMG_2184,NA,s1b_brug_1,red
19/02/2019,Site 1,Nikko Bay,Inner,38,Lobophyllia,Lobophyllia cf. corymbosa,Lobophyllia cf. corymbosa,1,IMG_2185,IMG_2186,NA,s1b_lobo_1,red
19/02/2019,Site 1,Nikko Bay,Inner,40,Lobophyllia,Lobophyllia cf. corymbosa,Lobophyllia cf. corymbosa,1,IMG_2189,IMG_2190,NA,s1b_lobo_3,red
19/02/2019,Site 1,Nikko Bay,Inner,37,Lobophyllia,Lobophyllia cf. hemprichii,Lobophyllia cf. hemprichii,1,IMG_2197,IMG_2198,NA,s1b_lobo_4,red
19/02/2019,Site 1,Nikko Bay,Inner,37,Lobophyllia,Lobophyllia cf. hemprichii,Lobophyllia cf. hemprichii,1,IMG_2199,IMG_2200,NA,s1b_lobo_5,red
19/02/2019,Site 1,Nikko Bay,Inner,38,Goniastrea,Goniastrea spp.,Goniastrea cf. favulus,1,IMG_2210,IMG_2211,NA,s1b_goni_1,red
19/02/2019,Site 1,Nikko Bay,Inner,39,Goniastrea,Goniastrea spp.,Goniastrea cf. favulus,1,IMG_2212,IMG_2213,NA,s1b_goni_2,red
11/02/2019,Site 3,Mutmelachel,Lagoon,17,Acropora,Acropora cf. subglabra,Acropora cf. subglabra,2,NA,NA,NA,s3_card_4,blue
