"","Date","Site.N","Site","Location","Bag","Genus","Species","Species_TB","Plot","Photo.1","Photo.2","Tag","ID","Dewer","full_VOLmm3","full_SAmm2","live_SAmm2","Mass_g","SD_gcm3","SAV","Protein_mgml","chl_a","chl_c","zoox","AFDW_5ml","col","colony_area","branch_density","branch_width","branch_height","polyp_size","polyp_density","base_ratio","height","chl_t","protein","biomass"
"12","09/02/2019","Site 1","Nikko Bay","Inner",1,"Porites","Porites cf. cylindrica","Porites cf. cylindrica",1,"IMG_1357","IMG_1358",1,"s1_pcyl_1","white",5630.1,2265.6,2128.4,6.5,1.1545088009094,0.402408482975436,3.1465797846956,5.51050829261417,0.716667285284721,0.720611727118962,0.025,"#D8BA7A",1076.25,0.115749039692702,1.2,6.13333333333333,0.1,79.36,1.05424810530515,12.5,6.22717557789889,2.21756703488226,3.52377372674309
"13","09/02/2019","Site 1","Nikko Bay","Inner",2,"Porites","Porites cf. cylindrica","Porites cf. cylindrica",1,"IMG_1359","IMG_1360",2,"s1_pcyl_2","white",887.3,618.4,570.1,1,1.12701453848755,0.696945790600699,1.37350951723734,5.62846333976495,0.68138493246799,0.615023680056131,0.023,"#756448",333.125,0.29718574108818,0.891666666666667,7.23333333333333,0.1,99.84,1.51440922190202,20,6.30984827223294,3.61386471821787,12.1031398000351
"14","09/02/2019","Site 1","Nikko Bay","Inner",3,"Porites","Porites cf. cylindrica","Porites cf. cylindrica",1,"IMG_1361","IMG_1362",3,"s1_pcyl_3","white",2030.5,1170.8,1114.7,2.2,1.08347697611426,0.576606747106624,3.67463129419001,15.5653670494303,5.60936000717683,1.51554229837624,0.028,"#896439",203.75,0.377914110429448,0.925,5.175,0.1,102.4,1.4968814968815,15,21.1747270566072,4.94478060579978,7.53565981878532
"15","09/02/2019","Site 1","Nikko Bay","Inner",4,"Porites","Porites cf. cylindrica","Porites cf. cylindrica",1,"IMG_1373","IMG_1374",4,"s1_pcyl_4","white",2935.2,1426.2,1353.2,3.4,1.15835377487054,0.485895339329518,4.04361830004586,13.2235744531481,4.772139595034,1.63263797981504,0.034,"#473A22",275,0.389090909090909,0.941666666666667,4.63333333333333,0.1,69.12,1.19489247311828,12.5,17.9957140481821,4.48228454778953,7.53768844221106
"16","09/02/2019","Site 1","Nikko Bay","Inner",5,"Porites","Porites cf. cylindrica","Porites cf. cylindrica",1,"IMG_1385","IMG_1386",5,"s1_pcyl_5","white",2515.7,1478.2,1401.95,2.8,1.11301029534523,0.587589935206901,3.59894122566598,7.73098384393167,2.39259474303649,0.929508898320197,0.033,"#74673B",846.875,0.165313653136531,0.975,2.31666666666667,0.1,61.44,1.20039682539683,13.1,10.1235785869682,3.85064505759761,7.06159278148293
"17","09/02/2019","Site 1","Nikko Bay","Inner",10,"Porites","Porites cf. rus","Porites cf. rus",2,"IMG_1396","IMG_1397",1,"s1_prus_1","white",5008.24,2307,2068.3,5,0.998354711435554,0.460640863856365,4.6498862615702,6.5541812841464,2.26504670502345,1.10900256249093,0.044,"#997040",752.5,0.15632183908046,1.70833333333333,3.33333333333333,0.05,120.32,1.10455764075067,34.75,8.81922798916985,3.37225228078871,6.3820528936808
"18","09/02/2019","Site 1","Nikko Bay","Inner",8,"Porites","Porites cf. rus","Porites cf. rus",1,"IMG_1383","IMG_1384",2,"s1_prus_2","white",7090.5,3015.7,2941,6.6,0.930822932092236,0.425315563077357,3.49259761185924,6.10484512920775,1.93043447381843,0.749319959197552,0.043,"#836640",681.875,0.195918367346939,1.64166666666667,3.73333333333333,0.05,89.6,1.26123301985371,13.075,8.03527960302618,1.78133166194793,4.38626317579055
"19","09/02/2019","Site 1","Nikko Bay","Inner",9,"Porites","Porites cf. rus","Porites cf. rus",2,"IMG_1393","IMG_1394",3,"s1_prus_3","white",902.6,724.3,670.1,1,1.10791048083315,0.80245956126745,1.75096621152033,5.67253820325323,1.27575570810327,0.947619758245038,0.037,"#6D4F29",172.5,0.32463768115942,1.15833333333333,4.53333333333333,0.05,151.04,1.07386363636364,18.15,6.9482939113565,3.9194886095814,16.5646918370392
"20","09/02/2019","Site 1","Nikko Bay","Inner",7,"Porites","Porites cf. rus","Porites cf. rus",1,"IMG_1371","IMG_1372",5,"s1_prus_5","white",3324.5,1733.7,1575.5,3.2,0.962550759512709,0.521491953677245,3.36553051678739,7.23768451285305,2.33701351951762,1.20993335449064,0.047,"#4A3822",206.25,0.300606060606061,1.03333333333333,3.10833333333333,0.1,71.68,1.2,9.25,9.57469803237067,3.20424993664302,8.94953982862583
"21","09/02/2019","Site 1","Nikko Bay","Inner",12,"Pocillopora","Pocillopora cf. damicornis","Pocillopora cf. damicornis",1,"IMG_1379","IMG_1380",1,"s1_poc_1","white",3436.4,3745.6,3568.4,8.8,2.56081946222791,1.08997788383192,7.97043411103753,2.73685723293353,0.609570297612376,0.525795874901917,0.034,"#946D3F",194.375,0.190353697749196,0.966666666666667,2.85833333333333,0.075,43.52,1.83453237410072,10.675,3.3464275305459,3.35042348575168,2.85842394350409
"22","09/02/2019","Site 1","Nikko Bay","Inner",13,"Pocillopora","Pocillopora cf. damicornis","Pocillopora cf. damicornis",2,"IMG_1395",NA,2,"s1_poc_2","white",2511.1,2750.6,2709.6,6.7,2.66815339890884,1.09537652821473,7.31419573916009,2.9569465234721,0.747143655890169,0.495460584588131,0.025,"#996B35",178.125,0.275087719298246,0.916666666666667,NA,0.05,101.333333333333,NA,NA,3.70409017936227,4.04904547119137,2.76793622674934
"23","09/02/2019","Site 1","Nikko Bay","Inner",11,"Pocillopora","Pocillopora cf. damicornis","Pocillopora cf. damicornis",1,"IMG_1367","IMG_1368",3,"s1_poc_3","white",2104,2251.9,2216.4,5.2,2.47148288973384,1.07029467680608,4.6801382810533,2.39700805360044,0.376009677855983,0.539726583649161,NA,"#DCB57C",68.625,0.597449908925319,0.625,2.09166666666667,0.05,81.6635160680529,1.65,7,2.77301773145642,3.16739190650602,NA
"24","09/02/2019","Site 1","Nikko Bay","Inner",NA,"Lobophyllia","Lobophyllia cf. hemprichii","Lobophyllia cf. hemprichii",1,"IMG_1404",NA,3,"s1_lobo_1","white",7485.2,3731.9,2292.5,12.3,1.64324266552664,0.498570512477957,4.39262658490186,7.00078979280262,1.7313785823337,0.699563794983642,0.039,"#9B977A",758.125,0.00263808738664468,22.75,NA,2.625,0.28,NA,NA,8.73216837513632,2.8741286269805,5.10359869138495
"25","09/02/2019","Site 1","Nikko Bay","Inner",7,"Acropora","Acropora cf. muricata","Acropora cf. muricata",2,"IMG_1400","IMG_1401",1,"s1_stag_1","white",1870,1988.5,1949.8,3,1.60427807486631,1.06336898395722,5.67489198566853,2.16675407734126,0.363870858549595,NA,0.02,"#B3997C",133.75,0.142056074766355,0.833333333333333,6.95,0.1,40.96,4.15217391304348,16.05,2.53062493589086,4.36574929659596,3.07723869114781
