,Site,IMG,planar_area,n_branches,n_in_area,branch_width1,branch_width2,branch_width3,corallite_width,n_corallites,box_width,IMG_side,colony_height,branch_height1,branch_height2,branch_height3,base_width,top_width,colour
132,Site 5,IMG_1836,35.6,25,9,0.2,0.19,0.29,0.02,38,0.25,IMG_1837,5.7,0.95,0.9,1,4.5,8,pale_yellow
133,Site 5,IMG_1838,29.7,20,4,0.3,0.27,0.24,0.03,13,0.25,IMG_1839,2,0.5,0.6,0.4,3.8,5.3,red_brown
134,Site 5,IMG_1840,117.4,32,16,0.16,0.2,0.21,0.02,5,0.25,IMG_1841,3.2,0.8,0.6,0.5,6,9,brown
135,Site 5,IMG_1842,53.1,47,53.1,0.34,0.4,0.32,0.03,8,0.25,IMG_1843,7.3,1.9,1.7,2,6,14,pale_brown
136,Site 5,IMG_1855,70.6,12,9,0.26,0.3,0.39,0.02,4,0.25,IMG_1856,8.6,1.5,1.5,2.2,9,14,pale_brown
137,Site 6,IMG_1893,51.6,51,4,0.2,0.17,0.13,0.04,28,0.25,IMG_1894,2.1,0.3,0.28,0.3,1.8,5.3,red_brown
138,Site 6,IMG_1895,78.1,25,4,0.3,0.3,0.29,0.05,14,0.25,IMG_1896,3.7,0.8,1,0.6,4.7,9.9,brown
139,Site 6,IMG_1897,55.7,36,4,0.2,0.18,0.2,0.04,26,0.25,IMG_1898,3.8,0.5,0.51,0.4,4.4,10,red_brown
140,Site 6,IMG_1899,46.5,29,4,0.18,0.2,0.17,0.05,33,0.25,IMG_1900,4.2,0.4,0.5,0.5,5.5,9.5,brown
141,Site 6,IMG_1901,8.6,25,8.6,0.6,0.75,0.62,0.02,25,0.25,IMG_1902,3.7,0.8,0.85,1,3.3,5.1,red_brown
142,Site 6,IMG_1903,12.5,28,12.5,0.6,0.7,0.8,0.02,28,0.25,IMG_1904,2.2,0.6,0.65,0.9,3,4,brown
143,Site 6,IMG_1905,248.4,12,28.4,4,3.3,3.1,0.1,10,0.5,IMG_1906,12.49,5,3,3,26,25,pale_brown
144,Site 6,IMG_1907,71.8,8,71.8,2,2.5,3.5,0.09,23,0.5,IMG_1908,8.3,2.9,3,4,8.7,3,pale_brown
