"","well","ID","A630_mean","A630_blanks","A630_Abs","A663_mean","A663_blanks","A663_Abs","A750_mean","A750_blanks","A750_Abs","chl_a","chl_c"
"22","7.23","s1_acrop_1",0.0974166666666667,0.181916666666667,-0.0845,0.216766666666667,0.174394444444444,0.0423722222222222,0.0389666666666667,0.165088888888889,-0.126122222222222,1.89925327777778,0.515911166666667
"23","7.8","s1_acrop_2",0.112133333333333,0.181916666666667,-0.0697833333333333,0.274333333333333,0.174394444444444,0.0999388888888889,0.0391333333333333,0.165088888888889,-0.125955555555556,2.54602327777778,0.701708666666667
"24","7.27","s1_acrop_3",0.08025,0.181916666666667,-0.101666666666667,0.1941,0.174394444444444,0.0197055555555555,0.0371166666666667,0.165088888888889,-0.127972222222222,1.67112144444444,0.176547166666667
"25","7.26","s1_anac_1",0.121633333333333,0.181916666666667,-0.0602833333333333,0.330516666666667,0.174394444444444,0.156122222222222,0.0372333333333333,0.165088888888889,-0.127855555555556,3.20261977777778,0.799692166666667
"26","7.10","s1_anac_2",0.05395,0.181916666666667,-0.127966666666667,0.08755,0.174394444444444,-0.0868444444444444,0.03795,0.165088888888889,-0.127138888888889,0.461095277777778,-0.168693333333333
"27","7.5","s1_brug_1",0.0759166666666667,0.181916666666667,-0.106,0.1846,0.174394444444444,0.0102055555555556,0.0381,0.165088888888889,-0.126988888888889,1.55469961111111,0.0705731666666669
"28","7.3","s1_brug_2",0.105716666666667,0.181916666666667,-0.0762,0.2633,0.174394444444444,0.0889055555555556,0.0383,0.165088888888889,-0.126788888888889,2.43301061111111,0.587482166666667
"29","7.19","s1_brug_3",0.159483333333333,0.181916666666667,-0.0224333333333333,0.545716666666667,0.174394444444444,0.371322222222222,0.0372833333333333,0.165088888888889,-0.127805555555556,5.63759227777778,1.04269966666667
"30","5.10","s1_goni_1",0.496483333333333,0.0401833333333333,0.4563,1.43523333333333,0.0386833333333333,1.39655,0.0412166666666667,0.03765,0.00356666666666667,15.6320501666667,7.2080165
"31","5.8","s1_goni_2",0.2761,0.0401833333333333,0.235916666666667,0.833233333333333,0.0386833333333333,0.79455,0.0399333333333333,0.03765,0.00228333333333334,8.90608266666667,3.453199
"32","4.18","s1_goni_3",0.354766666666667,0.0528,0.301966666666667,1.1097,0.05145,1.05825,0.0393666666666667,0.0485583333333333,-0.00919166666666666,12.0017169166667,4.554466
"33","7.7","s1_lobo_1",0.1805,0.181916666666667,-0.00141666666666665,0.575133333333333,0.174394444444444,0.400738888888889,0.0387833333333333,0.165088888888889,-0.126305555555556,5.94418911111111,1.47006866666667
"34","7.30","s1_pcyl_1",0.127466666666667,0.181916666666667,-0.05445,0.431716666666667,0.174394444444444,0.257322222222222,0.0383166666666667,0.165088888888889,-0.126772222222222,4.34391327777778,0.564946166666667
"35","7.13","s1_pcyl_2",0.0745666666666667,0.181916666666667,-0.10735,0.152716666666667,0.174394444444444,-0.0216777777777778,0.03835,0.165088888888889,-0.126738888888889,1.18843961111111,0.143873166666667
"36","7.18","s1_pcyl_3",0.216666666666667,0.181916666666667,0.03475,0.6184,0.174394444444444,0.444005555555556,0.0378,0.165088888888889,-0.127288888888889,6.42619061111111,2.31583466666667
"37","7.6","s1_pcyl_4",0.222666666666667,0.181916666666667,0.04075,0.6371,0.174394444444444,0.462705555555556,0.0386,0.165088888888889,-0.126488888888889,6.62745961111111,2.39172566666667
"38","7.31","s1_pcyl_5",0.149,0.181916666666667,-0.0329166666666666,0.4043,0.174394444444444,0.229905555555556,0.03855,0.165088888888889,-0.126538888888889,4.01424177777778,1.24233266666667
"39","7.22","s1_poc_1",0.129033333333333,0.181916666666667,-0.0528833333333333,0.36935,0.174394444444444,0.194955555555556,0.0395166666666667,0.165088888888889,-0.125572222222222,3.61711161111111,0.805626166666667
"40","7.2","s1_poc_2",0.1196,0.181916666666667,-0.0623166666666667,0.312283333333333,0.174394444444444,0.137888888888889,0.0398333333333333,0.165088888888889,-0.125255555555556,2.96746011111111,0.749800166666667
"41","7.21","s1_poc_3",0.08945,0.181916666666667,-0.0924666666666667,0.2213,0.174394444444444,0.0469055555555555,0.0379,0.165088888888889,-0.127188888888889,1.96767727777778,0.308662166666667
"42","7.25","s1_prus_1",0.181833333333333,0.181916666666667,-8.3333333333338e-05,0.496666666666667,0.174394444444444,0.322272222222222,0.0411666666666667,0.165088888888889,-0.123922222222222,5.02074561111111,1.73510966666667
"43","6.21","s1_prus_2",0.2172,0.153816666666667,0.0633833333333333,0.640383333333333,0.143195833333333,0.4971875,0.0384166666666667,0.1317875,-0.0933708333333333,6.64975908333333,2.102743625
"44","7.29","s1_prus_3",0.0826333333333333,0.181916666666667,-0.0992833333333333,0.171466666666667,0.174394444444444,-0.00292777777777778,0.0374,0.165088888888889,-0.127688888888889,1.40783994444444,0.316623666666667
"45","7.24","s1_prus_5",0.156483333333333,0.181916666666667,-0.0254333333333333,0.423483333333333,0.174394444444444,0.249088888888889,0.03905,0.165088888888889,-0.126038888888889,4.22332294444444,1.36369066666667
"46","7.4","s1_stag_1",0.0829166666666667,0.181916666666667,-0.099,0.185616666666667,0.174394444444444,0.0112222222222222,0.0378333333333333,0.165088888888889,-0.127255555555556,1.56471744444444,0.262768666666667
"47","4.3","s1b_brug_1",0.0921666666666667,0.0528,0.0393666666666667,0.2106,0.05145,0.15915,0.0374333333333333,0.0485583333333333,-0.011125,1.91392858333333,0.749721
"48","4.31","s1b_goni_1",0.2507,0.0528,0.1979,0.805566666666667,0.05145,0.754116666666667,0.0389,0.0485583333333333,-0.00965833333333333,8.59711091666667,2.850252
