Tray,Sample,ID
Plate 5,1,Acetone
Plate 5,2,s4a_pcyl_2
Plate 5,3,s6_pdam_2
Plate 5,4,s4a_card_2
Plate 5,5,s6_hya_3
Plate 5,6,s6_hya_4
Plate 5,7,s6_hya_1
Plate 5,8,s1_goni_2
Plate 5,9,Acetone
Plate 5,10,s1_goni_1
Plate 5,11,s4a_goni_1
Plate 5,12,s6_goni_2
Plate 5b,1,Acetone
Plate 5b,2,s4a_pcyl_2
Plate 5b,3,s6_pdam_2
Plate 5b,4,s4a_card_2
Plate 5b,5,s6_hya_3
Plate 5b,6,s6_hya_4
Plate 5b,7,s6_hya_1
Plate 5b,8,s1_goni_2
Plate 5b,9,Acetone
Plate 5b,10,s1_goni_1
Plate 5b,11,s4a_goni_1
Plate 5b,12,s6_goni_2
Plate 6,1,Acetone
Plate 6,2,s5_stag_2
Plate 6,3,s4b_prus_3
Plate 6,4,s7_pdam_3
Plate 6,5,s7_pdam_2
Plate 6,6,s7_pnig_2
Plate 6,7,s5_pdam_2
Plate 6,8,s7_styl_1
Plate 6,9,Acetone
Plate 6,10,s5_pcyl_1
Plate 6,11,s2_goni_1
Plate 6,12,s7_pver_1
Plate 6,13,s7_pnig_1
Plate 6,14,s5_prus_1
Plate 6,15,s7_pver_2
Plate 6,16,s5_pcyl_3
Plate 6,17,Acetone
Plate 6,18,s7_pdam_1
Plate 6,19,s4b_prus_4
Plate 6,20,s5_stag_3
Plate 6,21,s1_prus_2
Plate 6,22,s5_pcyl_4
Plate 6,23,s5_stag_1
Plate 6,24,s5_pdam_3
Plate 6,25,Acetone
Plate 6,26,s5_pdam_4
Plate 6,27,s7_pcyl_1
Plate 6,28,s5_card_2
Plate 6,29,s5_card_1
Plate 6,30,s7_styl_2
Plate 6,31,s5_pdam_1
Plate 6,32,s5_card_3
Plate 6b,1,Acetone
Plate 6b,2,s5_stag_2
Plate 6b,3,s4b_prus_3
Plate 6b,4,s7_pdam_3
Plate 6b,5,s7_pdam_2
Plate 6b,6,s7_pnig_2
Plate 6b,7,s5_pdam_2
Plate 6b,8,s7_styl_1
Plate 6b,9,Acetone
Plate 6b,10,s5_pcyl_1
Plate 6b,11,s2_goni_1
Plate 6b,12,s7_pver_1
Plate 6b,13,s7_pnig_1
Plate 6b,14,s5_prus_1
Plate 6b,15,s7_pver_2
Plate 6b,16,s5_pcyl_3
Plate 6b,17,Acetone
Plate 6b,18,s7_pdam_1
Plate 6b,19,s4b_prus_4
Plate 6b,20,s5_stag_3
Plate 6b,21,s1_prus_2
Plate 6b,22,s5_pcyl_4
Plate 6b,23,s5_stag_1
Plate 6b,24,s5_pdam_3
Plate 6b,25,Acetone
Plate 6b,26,s5_pdam_4
Plate 6b,27,s7_pcyl_1
Plate 6b,28,s5_card_2
Plate 6b,29,s5_card_1
Plate 6b,30,s7_styl_2
Plate 6b,31,s5_pdam_1
Plate 6b,32,s5_card_3
Plate 7,1,Acetone
Plate 7,2,s1_poc_2
Plate 7,3,s1_brug_2
Plate 7,4,s1_stag_1
Plate 7,5,s1_brug_1
Plate 7,6,s1_pcyl_4
Plate 7,7,s1_lobo_1
Plate 7,8,s1_acrop_2
Plate 7,9,Acetone
Plate 7,10,s1_anac_2
Plate 7,11,s7_prus_1
Plate 7,12,s3_prus_3
Plate 7,13,s1_pcyl_2
Plate 7,14,s7_prus_1
Plate 7,15,s5_prus_3
Plate 7,16,s4b_prus_1
Plate 7,17,Acetone
Plate 7,18,s1_pcyl_3
Plate 7,19,s1_brug_3
Plate 7,20,s3_prus_1
Plate 7,21,s1_poc_3
Plate 7,22,s1_poc_1
Plate 7,23,s1_acrop_1
Plate 7,24,s1_prus_5
Plate 7,25,s1_prus_1
Plate 7,26,s1_anac_1
Plate 7,27,s1_acrop_3
Plate 7,28,s5_prus_4
Plate 7,29,s1_prus_3
Plate 7,30,s1_pcyl_1
Plate 7,31,s1_pcyl_5
Plate 7,32,s4a_prus_3
Plate 7b,1,Acetone
Plate 7b,2,s1_poc_2
Plate 7b,3,s1_brug_2
Plate 7b,4,s1_stag_1
Plate 7b,5,s1_brug_1
Plate 7b,6,s1_pcyl_4
Plate 7b,7,s1_lobo_1
Plate 7b,8,s1_acrop_2
Plate 7b,9,Acetone
Plate 7b,10,s1_anac_2
Plate 7b,11,s7_prus_1
Plate 7b,12,s3_prus_3
Plate 7b,13,s1_pcyl_2
Plate 7b,14,s7_prus_1
Plate 7b,15,s5_prus_3
Plate 7b,16,s4b_prus_1
Plate 7b,17,Acetone
Plate 7b,18,s1_pcyl_3
Plate 7b,19,s1_brug_3
Plate 7b,20,s3_prus_1
Plate 7b,21,s1_poc_3
Plate 7b,22,s1_poc_1
Plate 7b,23,s1_acrop_1
Plate 7b,24,s1_prus_5
Plate 7b,25,s1_prus_1
Plate 7b,26,s1_anac_1
Plate 7b,27,s1_acrop_3
Plate 7b,28,s5_prus_4
Plate 7b,29,s1_prus_3
Plate 7b,30,s1_pcyl_1
Plate 7b,31,s1_pcyl_5
Plate 7b,32,s4a_prus_3
