"","IMG","col","r","g","b","rgb.Pct","h","s","v","hsv.Pct"
"1121","IMG_1471","#A8805F",0.657516339869281,0.503267973856209,0.372549019607843,0.00046875,0.5,0.5,0.5,0
"1122","IMG_1471","#D6A264",0.838965990034445,0.633639880056628,0.393893589271979,0.27484375,0.833333333333333,0.5,0.5,0
"1123","IMG_1471","#2BD480",0.166666666666667,0.833333333333333,0.5,0,0.0898428936792108,0.698456548085834,0.656862745098039,0.0003125
"1124","IMG_1471","#80D480",0.5,0.833333333333333,0.5,0,0.5,0.833333333333333,0.5,0
"1125","IMG_1471","#E5B984",0.897428986471113,0.726986016066647,0.516017058415154,0.52515625,0.833333333333333,0.833333333333333,0.5,0
"1126","IMG_1471","#2B2BD4",0.166666666666667,0.166666666666667,0.833333333333333,0,0.091906776573426,0.257643936290706,0.917368730931863,0.17171875
"1127","IMG_1471","#802BD4",0.5,0.166666666666667,0.833333333333333,0,0.5,0.166666666666667,0.833333333333333,0
"1128","IMG_1471","#D42BD4",0.833333333333333,0.166666666666667,0.833333333333333,0,0.833333333333333,0.166666666666667,0.833333333333333,0
"1129","IMG_1471","#2B80D4",0.166666666666667,0.5,0.833333333333333,0,0.0910546393718172,0.492220974491105,0.868399205508273,0.80671875
"1130","IMG_1471","#8080D4",0.5,0.5,0.833333333333333,0,0.5,0.5,0.833333333333333,0
"1131","IMG_1471","#D480D4",0.833333333333333,0.5,0.833333333333333,0,0.833333333333333,0.5,0.833333333333333,0
"1132","IMG_1471","#2BD4D4",0.166666666666667,0.833333333333333,0.833333333333333,0,0.0882915578451106,0.699959911819014,0.76577818627451,0.02
"1133","IMG_1471","#80D4D4",0.5,0.833333333333333,0.833333333333333,0,0.5,0.833333333333333,0.833333333333333,0
"1134","IMG_1471","#EFD7B9",0.93678865683081,0.844299674267101,0.726614293926039,0.0959375,0.833333333333333,0.833333333333333,0.833333333333333,0
"1135","IMG_1473","#4E3E36",0.305882352941176,0.244563279857398,0.21319073083779,0.0488888888888889,0.0599498890803239,0.295360339908582,0.308061002178649,0.04
"1136","IMG_1473","#624E46",0.38453781512605,0.306442577030812,0.274397759103641,0.155555555555556,0.5,0.166666666666667,0.166666666666667,0
"1137","IMG_1473","#D42B2B",0.833333333333333,0.166666666666667,0.166666666666667,0,0.833333333333333,0.166666666666667,0.166666666666667,0
"1138","IMG_1473","#2B802B",0.166666666666667,0.5,0.166666666666667,0,0.0448717948717949,0.344748858447489,0.296078431372549,0.00888888888888889
"1139","IMG_1473","#705C4F",0.437874097007224,0.360887512899897,0.31124871001032,0.168888888888889,0.5,0.5,0.166666666666667,0
"1140","IMG_1473","#D4802B",0.833333333333333,0.5,0.166666666666667,0,0.833333333333333,0.5,0.166666666666667,0
"1141","IMG_1473","#2BD42B",0.166666666666667,0.833333333333333,0.166666666666667,0,0.166666666666667,0.833333333333333,0.166666666666667,0
"1142","IMG_1473","#80D42B",0.5,0.833333333333333,0.166666666666667,0,0.5,0.833333333333333,0.166666666666667,0
"1143","IMG_1473","#D4D42B",0.833333333333333,0.833333333333333,0.166666666666667,0,0.833333333333333,0.833333333333333,0.166666666666667,0
"1144","IMG_1473","#2B2B80",0.166666666666667,0.166666666666667,0.5,0,0.0565602022027791,0.20747125925669,0.479554848966614,0.822222222222222
"1145","IMG_1473","#802B80",0.5,0.166666666666667,0.5,0,0.5,0.166666666666667,0.5,0
"1146","IMG_1473","#D42B80",0.833333333333333,0.166666666666667,0.5,0,0.908564814814815,0.0367482285296997,0.512745098039216,0.0177777777777778
"1147","IMG_1473","#2B8080",0.166666666666667,0.5,0.5,0,0.0635203999335663,0.382820270412644,0.455436720142603,0.0977777777777778
"1148","IMG_1473","#83736A",0.512219380505825,0.449246945154874,0.415743108837738,0.613333333333333,0.5,0.5,0.5,0
"1149","IMG_1473","#ADA098",0.677124183006536,0.628758169934641,0.597385620915033,0.0133333333333333,0.833333333333333,0.5,0.5,0
"1150","IMG_1473","#2BD480",0.166666666666667,0.833333333333333,0.5,0,0.166666666666667,0.833333333333333,0.5,0
"1151","IMG_1473","#80D480",0.5,0.833333333333333,0.5,0,0.5,0.833333333333333,0.5,0
"1152","IMG_1473","#D4D480",0.833333333333333,0.833333333333333,0.5,0,0.833333333333333,0.833333333333333,0.5,0
"1153","IMG_1473","#2B2BD4",0.166666666666667,0.166666666666667,0.833333333333333,0,0.0650623885918003,0.117841250081108,0.677124183006536,0.0133333333333333
"1154","IMG_1473","#802BD4",0.5,0.166666666666667,0.833333333333333,0,0.5,0.166666666666667,0.833333333333333,0
"1155","IMG_1473","#D42BD4",0.833333333333333,0.166666666666667,0.833333333333333,0,0.833333333333333,0.166666666666667,0.833333333333333,0
